split,K,tau,theta
calibration,0.9887370000258403,9.806405658292439,1.962276648522317
calibration,0.9905207717168641,9.881792084736508,2.00000006712647
calibration,0.9859850221290098,9.880774725389701,1.9908312877813925
calibration,0.997060795531565,10.043491679663306,1.8720725816619357
calibration,1.0125547245766897,10.562309885714175,1.9553090351322406
calibration,1.02108958228343,10.855071154109574,1.883109017127071
calibration,1.012065660127987,10.663633978426883,1.8205681609400381
calibration,0.9945785046840411,10.192410868929512,1.876720038306603
calibration,0.9953139114579659,10.035285864506436,1.9680484012013562
calibration,0.9849299385752184,9.482228445369495,2.321098087776754
calibration,1.0020464970962244,10.303649284483036,1.9393562433717437
calibration,1.0150063461175765,10.869018134291826,1.7883827762184616
calibration,0.9904402267892001,9.65203088973078,2.1787806296973393
calibration,0.9965214714501449,10.562162417530965,1.6818238208583856
calibration,0.9964310014307101,10.059245676919948,2.063270775611595
calibration,1.0130970994863466,10.580910518881538,1.8069923561413654
calibration,1.0037342788527184,10.16552434360093,2.043596935525103
calibration,0.9810781974586883,9.665265192596513,2.1797570531792605
calibration,0.9947239622561155,10.185783549199112,1.9999999799773023
calibration,0.976481129690547,9.483260756583624,2.1977857556761853
calibration,0.9811972709579015,9.714197060277826,2.088568255069494
calibration,0.9983315814051531,10.165096609039834,2.0483864825538065
calibration,0.9830047785041256,9.704561160407339,2.1887708634275382
calibration,1.007706394024687,10.370439780856257,2.007239555717704
calibration,0.9674922254702739,9.216792190731669,2.206204920731815
calibration,0.9764873654127171,9.654698061562017,2.0703168237129375
calibration,0.9934751148107559,10.286851692259221,1.9335200428313895
calibration,0.9898651615448963,10.058445492605696,1.8759640718443016
calibration,0.9970612022198277,10.140965334365,1.999999960969151
calibration,0.9813816752188991,9.66810791891098,2.076421885922811
calibration,0.9929585802833673,10.557274469359836,1.7296773633525202
calibration,1.0041965471014143,10.293255062516323,1.9975967180757042
calibration,0.9970831283479162,9.732356636735288,2.279617366276382
calibration,1.0040874931266264,10.761332596334903,1.7381679405013666
calibration,0.998761284648526,10.000852056605307,2.0863451390333525
calibration,0.9891734110885587,9.937512397572254,2.0645294334172926
calibration,1.0303274744376982,10.951849086239074,1.8253943405700097
calibration,1.0140340071134517,10.818575222844151,1.7668806136286368
calibration,0.9900268415772513,9.845749762817908,2.188784639572364
calibration,0.9932395162509363,10.041919406126569,1.9666199405518638
calibration,1.0022326895162486,10.138204752294364,1.9168866952780508
calibration,0.9857669978926606,9.625322935736333,2.152677485949088
calibration,1.0056503717957777,10.500982433563639,1.8284972119417309
calibration,0.9991205956077785,10.188788515620782,1.953476769162556
calibration,0.9986813661024969,10.265370050254823,1.8694856901382149
calibration,0.986137816938277,9.755145750298807,2.148150186712174
calibration,0.9985700444071997,10.329794373820178,1.9020995775634022
calibration,1.0009984734676702,10.208340487926819,2.0000032574792983
calibration,1.0069483844467073,10.401788043370109,1.999999973008182
calibration,1.0026735606252126,10.303684386210213,1.8540073226179414
calibration,0.972097679975517,9.288821803096196,2.2309267077777166
calibration,0.9854773118011706,9.615276318799964,2.1288119063766957
calibration,0.9995863720384232,10.231278415505509,1.920113822316951
calibration,1.0036780419377507,10.249241037750283,2.1085840181752147
calibration,1.0052406468447086,10.414537221406501,2.0314061601063487
calibration,0.9915872430331467,9.98376431061902,2.110579397159553
calibration,1.0009477499882349,9.877443424376029,2.3849628291898677
calibration,1.0033587904308219,10.474361009390632,1.8801273496940631
calibration,0.9925333007156603,10.112154143273694,1.8847594725168224
calibration,1.0121106654999739,10.60350720278712,1.8379251262656164
calibration,0.990243934316855,9.860633516048507,2.113190707311829
calibration,1.0154522791272356,10.51295948311353,1.8882396818514804
calibration,1.0225395853658632,10.41913279079927,2.0497998283343666
calibration,1.020529988460746,10.916960147790348,1.7720935471540236
calibration,0.9931338113185849,9.890132665855212,2.1173795816121377
calibration,1.0044838172895052,10.228934817194618,2.000000003847493
calibration,1.0000864980960582,10.294608865748208,1.9955879197376665
calibration,0.9970744356670821,10.226340299225592,2.197277977899908
calibration,0.9961090959794942,10.27265393906706,1.922448961459594
calibration,1.005543083582115,10.421923555355031,2.0380319404501677
calibration,0.9770256407850055,9.453489378097029,2.1941930268265843
calibration,1.0026140540448438,10.099465499702513,2.1000702984767656
calibration,0.9984643731919253,10.312267655086304,1.922092535400218
calibration,0.9779716358355135,9.358833385647547,2.218616288600801
calibration,1.0106622030468753,10.638300709416635,1.832430176302594
calibration,0.999377547912421,10.237804897576224,2.0155405182619237
calibration,0.9965981099240859,10.262119956276798,1.8096395279141697
calibration,0.9933144846782134,9.908140792247409,1.9999999947659413
calibration,1.00509911649942,10.303233230357286,1.9430709838801892
calibration,1.0006668748229752,10.16584575786742,2.080301505398428
calibration,0.9920530510333918,10.00688156139032,2.0133279898838814
calibration,0.9923027221485341,9.810431196711349,2.1200388747464864
calibration,1.0281086980405476,11.162402956601646,1.7766720907644487
calibration,1.0009967472615788,10.282897967461123,2.10818558829459
calibration,0.9803396333320592,9.718964947089818,2.0864782319048705
calibration,0.9957144026158633,10.375503210687889,1.7965266988611694
calibration,1.0025679187815433,10.299005554283585,1.9326728425294033
calibration,0.996644876165653,10.230924611740402,1.8753156678144116
calibration,1.0139051770452492,10.702503977171165,1.855868374814416
calibration,1.0011730248670259,10.245439005198378,1.9519650541964457
calibration,0.9893237642084434,10.078185968010434,1.8869581258500927
calibration,0.979492403570656,9.576529828610662,2.048396213511914
calibration,1.0007464153316683,10.04790453355878,1.966098189564129
calibration,1.004935677005209,10.52299044025534,1.8462721359200074
calibration,0.9947517780632956,10.030490555668264,2.0552150554096227
calibration,0.9775054227309049,9.69578308080493,2.077325554095913
calibration,1.0000651767353506,10.384559380476027,1.8517429911035024
calibration,0.9721609163583116,9.452909153993279,2.0943916474410202
calibration,0.981703084695846,10.083780172605877,1.7916064691071913
calibration,0.9993447259170665,10.154352010445459,1.9227375511850602
calibration,1.0039370016334646,10.575748918278332,1.9927326321056165
calibration,1.0123106119183893,10.41917357434137,1.8738723824811636
calibration,1.0072249392708073,10.462356010492602,1.8016441686961502
calibration,0.9860362518877376,10.10145431808287,2.0330414989864343
calibration,1.0281189340675987,11.181249590826612,1.761461040401793
calibration,0.9755983849620887,9.629680137994947,2.00000001599968
calibration,1.001664821081147,10.438295700853743,1.8898357723588801
calibration,1.0159080430396725,10.711320560580118,1.8904196935419546
calibration,1.0109272138375835,10.913181434619556,1.7588050605507486
calibration,0.9796720183986183,9.630806652959064,2.0830708737188477
calibration,0.9974702057224815,10.129565377062665,1.975084673078333
calibration,1.0021635512697402,10.05202060703142,2.067866575996128
calibration,1.001672212018228,10.32086951917599,1.817221389373296
calibration,0.9799064805676937,9.567478932260833,2.000000022780627
calibration,1.0090788738762488,10.437890469693555,2.010536152630974
calibration,0.9962818330058645,10.318686352607166,1.9765964298989505
calibration,1.0139089645002743,10.559816746688394,2.0438263501638234
calibration,0.9791096927700249,9.241557880517597,2.2652101560636657
calibration,0.9836595831047756,9.686540573940436,2.2200020839420254
calibration,0.9996518049399152,10.032356676360765,2.0809315800698696
calibration,1.0125197761754505,10.349559598441353,2.0542441482337783
calibration,0.9979733007728829,10.06625692419496,2.039910441032787
calibration,0.9737631324221331,9.465805656004324,2.141535976537032
calibration,1.0031223897333477,10.329702184973556,1.8768109237878965
calibration,0.9824171185282985,9.819637435882,1.9625102100108367
calibration,0.9982906632575276,10.304557173013823,2.155661836333742
calibration,0.9831850274816284,9.950915679770956,2.025955574442265
calibration,1.0106183011818708,10.78147338700491,1.8137041221551022
